Map from character to field name
A:	Avian
B:	Camel
C:	Canine
D:	Equine
E:	Feline
F:	Human
G:	Mink
H:	Seal
I:	Swine
J:	?


Substitution rate (mu): 3.566672

Equilibrium frequencies (pi_i):
  A: 0.1157
  B: 0.1198
  C: 0.1538
  D: 0.0835
  E: 0.1862
  F: 0.025
  G: 0.096
  H: 0.088
  I: 0.1321

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I
  A	0	0.42	0.7353	0.9263	0.3454	1.8917	0.4547	1.403	3.8539
  B	0.42	0	0.6496	0.9882	0.6848	0.6492	0.6852	0.6845	0.4497
  C	0.7353	0.6496	0	1.2573	4.4305	0.6326	0.6557	0.6572	1.186
  D	0.9263	0.9882	1.2573	0	0.6438	0.6545	0.6635	0.6648	0.7291
  E	0.3454	0.6848	4.4305	0.6438	0	0.9454	0.6839	0.6829	0.5663
  F	1.8917	0.6492	0.6326	0.6545	0.9454	0	0.6561	0.6583	9.2089
  G	0.4547	0.6852	0.6557	0.6635	0.6839	0.6561	0	0.6843	1.2103
  H	1.403	0.6845	0.6572	0.6648	0.6829	0.6583	0.6843	0	0.494
  I	3.8539	0.4497	1.186	0.7291	0.5663	9.2089	1.2103	0.494	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I
  A	0	0.0486	0.085	0.1071	0.0399	0.2188	0.0526	0.1623	0.4457
  B	0.0503	0	0.0778	0.1183	0.082	0.0777	0.0821	0.082	0.0539
  C	0.1131	0.0999	0	0.1934	0.6814	0.0973	0.1008	0.1011	0.1824
  D	0.0774	0.0826	0.105	0	0.0538	0.0547	0.0554	0.0555	0.0609
  E	0.0643	0.1275	0.8248	0.1199	0	0.176	0.1273	0.1271	0.1054
  F	0.0473	0.0162	0.0158	0.0164	0.0236	0	0.0164	0.0165	0.2303
  G	0.0436	0.0658	0.0629	0.0637	0.0656	0.063	0	0.0657	0.1161
  H	0.1235	0.0603	0.0579	0.0585	0.0601	0.058	0.0602	0	0.0435
  I	0.5089	0.0594	0.1566	0.0963	0.0748	1.2161	0.1598	0.0652	0
