Map from character to field name
A:	Anseriformes
B:	Avian
C:	Camel
D:	Canine
E:	Equine
F:	Feline
G:	Galliformes
H:	Human
I:	Mink
J:	Neoave
K:	Neonave
L:	Seal
M:	Swine
N:	?


Substitution rate (mu): 5.764181

Equilibrium frequencies (pi_i):
  A: 0.0732
  B: 0.0442
  C: 0.0975
  D: 0.0732
  E: 0.0657
  F: 0.1592
  G: 0.0367
  H: 0.0183
  I: 0.0725
  J: 0.037
  K: 0.0965
  L: 0.063
  M: 0.163

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J	K	L	M
  A	0	15.5145	0.3824	0.8339	0.8644	0.3024	9.0953	0.6931	0.4279	13.4979	0.3957	1.3438	1.2939
  B	15.5145	0	0.6412	0.6313	0.6381	0.6323	0.7115	0.6442	0.6443	8.3426	0.7145	0.6454	0.5475
  C	0.3824	0.6412	0	0.6251	0.9463	0.6527	0.6345	0.6195	0.6538	0.6328	0.6545	0.6532	0.4226
  D	0.8339	0.6313	0.6251	0	0.9266	3.6789	0.6287	0.6229	0.632	0.6273	0.6254	0.6343	1.3235
  E	0.8644	0.6381	0.9463	0.9266	0	0.6155	0.6334	0.6264	0.6363	0.6338	0.631	0.6382	0.6858
  F	0.3024	0.6323	0.6527	3.6789	0.6155	0	0.6218	0.8983	0.6521	0.6192	0.6527	0.6512	0.3443
  G	9.0953	0.7115	0.6345	0.6287	0.6334	0.6218	0	1.907	0.6394	0.9982	0.6347	0.641	3.9874
  H	0.6931	0.6442	0.6195	0.6229	0.6264	0.8983	1.907	0	0.6286	0.6442	0.6198	0.6313	10.511
  I	0.4279	0.6443	0.6538	0.632	0.6363	0.6521	0.6394	0.6286	0	0.638	0.6539	0.6531	1.1694
  J	13.4979	8.3426	0.6328	0.6273	0.6338	0.6192	0.9982	0.6442	0.638	0	0.8672	0.64	0.5509
  K	0.3957	0.7145	0.6545	0.6254	0.631	0.6527	0.6347	0.6198	0.6539	0.8672	0	0.6532	0.4241
  L	1.3438	0.6454	0.6532	0.6343	0.6382	0.6512	0.641	0.6313	0.6531	0.64	0.6532	0	0.4821
  M	1.2939	0.5475	0.4226	1.3235	0.6858	0.3443	3.9874	10.511	1.1694	0.5509	0.4241	0.4821	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J	K	L	M
  A	0	1.1353	0.028	0.061	0.0633	0.0221	0.6656	0.0507	0.0313	0.9877	0.029	0.0983	0.0947
  B	0.6851	0	0.0283	0.0279	0.0282	0.0279	0.0314	0.0284	0.0285	0.3684	0.0316	0.0285	0.0242
  C	0.0373	0.0625	0	0.0609	0.0922	0.0636	0.0619	0.0604	0.0637	0.0617	0.0638	0.0637	0.0412
  D	0.0611	0.0462	0.0458	0	0.0679	0.2695	0.046	0.0456	0.0463	0.0459	0.0458	0.0465	0.0969
  E	0.0568	0.0419	0.0622	0.0609	0	0.0405	0.0416	0.0412	0.0418	0.0417	0.0415	0.042	0.0451
  F	0.0481	0.1007	0.1039	0.5857	0.098	0	0.099	0.143	0.1038	0.0986	0.1039	0.1037	0.0548
  G	0.3336	0.0261	0.0233	0.0231	0.0232	0.0228	0	0.07	0.0235	0.0366	0.0233	0.0235	0.1463
  H	0.0127	0.0118	0.0114	0.0114	0.0115	0.0165	0.035	0	0.0115	0.0118	0.0114	0.0116	0.1928
  I	0.031	0.0467	0.0474	0.0458	0.0461	0.0473	0.0463	0.0456	0	0.0463	0.0474	0.0473	0.0848
  J	0.4996	0.3088	0.0234	0.0232	0.0235	0.0229	0.0369	0.0238	0.0236	0	0.0321	0.0237	0.0204
  K	0.0382	0.0689	0.0631	0.0603	0.0609	0.063	0.0612	0.0598	0.0631	0.0837	0	0.063	0.0409
  L	0.0847	0.0407	0.0412	0.04	0.0402	0.041	0.0404	0.0398	0.0412	0.0403	0.0412	0	0.0304
  M	0.2109	0.0892	0.0689	0.2157	0.1118	0.0561	0.6498	1.713	0.1906	0.0898	0.0691	0.0786	0
