	given_date	apparent_date	residual
A/canine/Guangdong/1/2006|2006-06-01	2006.41	1994.3082793996052	-6.1690725676471425
A/canine/Beijing/364/2009|2009-12-17	2009.95	1997.3941257891543	-6.400585645187347
A/canine/Korea/MV1/2012|2012-11-07	2012.84	2002.9129858778294	-5.060476317535465
A/canine/Korea/VC378/2012|2012-03-13	2012.2	2002.9129858778294	-4.734224656828218
A/canine/China/LG1/2015|2015-12-16	2015.95	2027.2094579702175	5.73971384601116
A/canine/China/LG2/2015|2015-12-16	2015.95	2026.610791703464	5.434532808920918
A/canine/Beijing/20150118-256/2015|2015-01-18	2015.05	2023.5473130844516	4.331660164612441
A/canine/Beijing/CAU-501/2001|2001-05-01	2001.33	2020.966847853022	10.010240973600542
A/canine/Beijing/CAU-510/2010|2010-05-01	2010.33	2020.966847853022	5.422326994904684
A/canine/Beijing/CAU-511/2011|2011-05-01	2011.33	2020.966847853022	4.912558775049611
A/canine/Beijing/CAU-JC2538/2010|2010-08-01	2010.58	2021.5748997051446	5.604850450177076
A/canine/Beijing/CAU-JC2550/2010|2010-08-01	2010.58	2021.5748997051446	5.604850450177076
