Map from character to field name
A:	Avian
B:	Camel
C:	Canine
D:	Equine
E:	Feline
F:	Human
G:	Mink
H:	Seal
I:	Swine
J:	?


Substitution rate (mu): 3.226601

Equilibrium frequencies (pi_i):
  A: 0.1064
  B: 0.117
  C: 0.1225
  D: 0.069
  E: 0.2445
  F: 0.0167
  G: 0.091
  H: 0.0851
  I: 0.1479

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I
  A	0	0.4149	0.9862	1.221	0.2839	1.8712	0.4579	1.4057	4.0755
  B	0.4149	0	0.6752	1.0317	0.7157	0.6729	0.7169	0.7165	0.4361
  C	0.9862	0.6752	0	1.3269	4.7759	0.6653	0.6834	0.6851	1.0227
  D	1.221	1.0317	1.3269	0	0.6568	0.6865	0.6937	0.695	0.7507
  E	0.2839	0.7157	4.7759	0.6568	0	0.9446	0.7145	0.7137	0.3049
  F	1.8712	0.6729	0.6653	0.6865	0.9446	0	0.6823	0.6844	10.8107
  G	0.4579	0.7169	0.6834	0.6937	0.7145	0.6823	0	0.7162	1.1964
  H	1.4057	0.7165	0.6851	0.695	0.7137	0.6844	0.7162	0	0.4876
  I	4.0755	0.4361	1.0227	0.7507	0.3049	10.8107	1.1964	0.4876	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I
  A	0	0.0441	0.1049	0.1299	0.0302	0.1991	0.0487	0.1495	0.4336
  B	0.0485	0	0.079	0.1207	0.0837	0.0787	0.0839	0.0838	0.051
  C	0.1208	0.0827	0	0.1626	0.5851	0.0815	0.0837	0.0839	0.1253
  D	0.0842	0.0711	0.0915	0	0.0453	0.0473	0.0478	0.0479	0.0518
  E	0.0694	0.175	1.1678	0.1606	0	0.231	0.1747	0.1745	0.0746
  F	0.0312	0.0112	0.0111	0.0115	0.0158	0	0.0114	0.0114	0.1804
  G	0.0417	0.0653	0.0622	0.0632	0.0651	0.0621	0	0.0652	0.1089
  H	0.1196	0.061	0.0583	0.0591	0.0607	0.0582	0.0609	0	0.0415
  I	0.6026	0.0645	0.1512	0.111	0.0451	1.5984	0.1769	0.0721	0
