Map from character to field name
A:	Anseriformes
B:	Avian
C:	Camel
D:	Canine
E:	Equine
F:	Feline
G:	Galliformes
H:	Human
I:	Mink
J:	Neoave
K:	Neonave
L:	Seal
M:	Swine
N:	?


Substitution rate (mu): 5.81489

Equilibrium frequencies (pi_i):
  A: 0.0735
  B: 0.0444
  C: 0.0974
  D: 0.0767
  E: 0.0657
  F: 0.1523
  G: 0.036
  H: 0.0184
  I: 0.0724
  J: 0.0373
  K: 0.0965
  L: 0.063
  M: 0.1663

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J	K	L	M
  A	0	15.3992	0.38	0.8156	0.8588	0.3076	9.0741	0.6885	0.4253	13.3903	0.3928	1.3356	1.2724
  B	15.3992	0	0.6372	0.6268	0.634	0.6291	0.7071	0.6401	0.6402	8.6266	0.7104	0.6413	0.5435
  C	0.38	0.6372	0	0.6212	0.9403	0.6485	0.6304	0.6155	0.6497	0.6288	0.6504	0.6491	0.42
  D	0.8156	0.6268	0.6212	0	0.9196	3.6545	0.6242	0.6177	0.628	0.6225	0.6215	0.6303	1.2972
  E	0.8588	0.634	0.9403	0.9196	0	0.6131	0.6295	0.6224	0.6322	0.6297	0.627	0.6341	0.6809
  F	0.3076	0.6291	0.6485	3.6545	0.6131	0	0.619	0.8958	0.6479	0.6166	0.6485	0.6471	0.3492
  G	9.0741	0.7071	0.6304	0.6242	0.6295	0.619	0	1.8956	0.6352	0.9928	0.6306	0.6369	3.9832
  H	0.6885	0.6401	0.6155	0.6177	0.6224	0.8958	1.8956	0	0.6246	0.6401	0.6159	0.6273	10.4307
  I	0.4253	0.6402	0.6497	0.628	0.6322	0.6479	0.6352	0.6246	0	0.634	0.6497	0.649	1.1625
  J	13.3903	8.6266	0.6288	0.6225	0.6297	0.6166	0.9928	0.6401	0.634	0	0.8615	0.6359	0.5464
  K	0.3928	0.7104	0.6504	0.6215	0.627	0.6485	0.6306	0.6159	0.6497	0.8615	0	0.6491	0.4215
  L	1.3356	0.6413	0.6491	0.6303	0.6341	0.6471	0.6369	0.6273	0.649	0.6359	0.6491	0	0.4791
  M	1.2724	0.5435	0.42	1.2972	0.6809	0.3492	3.9832	10.4307	1.1625	0.5464	0.4215	0.4791	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J	K	L	M
  A	0	1.1319	0.0279	0.0599	0.0631	0.0226	0.667	0.0506	0.0313	0.9843	0.0289	0.0982	0.0935
  B	0.6841	0	0.0283	0.0278	0.0282	0.028	0.0314	0.0284	0.0284	0.3833	0.0316	0.0285	0.0241
  C	0.037	0.0621	0	0.0605	0.0916	0.0632	0.0614	0.06	0.0633	0.0613	0.0634	0.0632	0.0409
  D	0.0625	0.0481	0.0476	0	0.0705	0.2803	0.0479	0.0474	0.0482	0.0477	0.0477	0.0483	0.0995
  E	0.0565	0.0417	0.0618	0.0604	0	0.0403	0.0414	0.0409	0.0416	0.0414	0.0412	0.0417	0.0448
  F	0.0469	0.0958	0.0988	0.5567	0.0934	0	0.0943	0.1365	0.0987	0.0939	0.0988	0.0986	0.0532
  G	0.3268	0.0255	0.0227	0.0225	0.0227	0.0223	0	0.0683	0.0229	0.0358	0.0227	0.0229	0.1434
  H	0.0126	0.0118	0.0113	0.0113	0.0114	0.0164	0.0348	0	0.0115	0.0118	0.0113	0.0115	0.1915
  I	0.0308	0.0464	0.0471	0.0455	0.0458	0.0469	0.046	0.0453	0	0.0459	0.0471	0.047	0.0842
  J	0.4995	0.3218	0.0235	0.0232	0.0235	0.023	0.037	0.0239	0.0237	0	0.0321	0.0237	0.0204
  K	0.0379	0.0685	0.0627	0.06	0.0605	0.0626	0.0608	0.0594	0.0627	0.0831	0	0.0626	0.0407
  L	0.0841	0.0404	0.0409	0.0397	0.0399	0.0408	0.0401	0.0395	0.0409	0.04	0.0409	0	0.0302
  M	0.2116	0.0904	0.0699	0.2157	0.1132	0.0581	0.6625	1.7348	0.1933	0.0909	0.0701	0.0797	0
