Map from character to field name
A:	Avian
B:	Camel
C:	Canine
D:	Equine
E:	Feline
F:	Human
G:	Mink
H:	Seal
I:	Swine
J:	?


Substitution rate (mu): 2.779498

Equilibrium frequencies (pi_i):
  A: 0.1376
  B: 0.105
  C: 0.115
  D: 0.0733
  E: 0.1952
  F: 0.0115
  G: 0.0804
  H: 0.0754
  I: 0.2065

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I
  A	0	0.4718	0.8741	1.0531	0.3436	2.4447	0.5256	1.6111	2.4626
  B	0.4718	0	0.7902	1.1922	0.8311	0.7684	0.8312	0.8307	0.4928
  C	0.8741	0.7902	0	1.1468	4.5451	0.7588	0.7985	0.8	0.8959
  D	1.0531	1.1922	1.1468	0	0.7641	0.783	0.8025	0.8045	0.7958
  E	0.3436	0.8311	4.5451	0.7641	0	1.081	0.8292	0.8283	0.3646
  F	2.4447	0.7684	0.7588	0.783	1.081	0	0.7827	0.7853	17.1789
  G	0.5256	0.8312	0.7985	0.8025	0.8292	0.7827	0	0.8303	1.3642
  H	1.6111	0.8307	0.8	0.8045	0.8283	0.7853	0.8303	0	0.5555
  I	2.4626	0.4928	0.8959	0.7958	0.3646	17.1789	1.3642	0.5555	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I
  A	0	0.0649	0.1203	0.1449	0.0473	0.3363	0.0723	0.2217	0.3388
  B	0.0496	0	0.083	0.1252	0.0873	0.0807	0.0873	0.0873	0.0518
  C	0.1006	0.0909	0	0.1319	0.5229	0.0873	0.0919	0.092	0.1031
  D	0.0772	0.0874	0.0841	0	0.056	0.0574	0.0588	0.059	0.0584
  E	0.0671	0.1622	0.8871	0.1491	0	0.211	0.1619	0.1617	0.0712
  F	0.0282	0.0089	0.0087	0.009	0.0125	0	0.009	0.0091	0.1981
  G	0.0423	0.0669	0.0642	0.0646	0.0667	0.063	0	0.0668	0.1097
  H	0.1215	0.0626	0.0603	0.0606	0.0624	0.0592	0.0626	0	0.0419
  I	0.5084	0.1017	0.185	0.1643	0.0753	3.5468	0.2817	0.1147	0
