Map from character to field name
A:	Avian
B:	Camel
C:	Canine
D:	Equine
E:	Feline
F:	Human
G:	Mink
H:	Seal
I:	Swine
J:	?


Substitution rate (mu): 2.647691

Equilibrium frequencies (pi_i):
  A: 0.1267
  B: 0.116
  C: 0.1048
  D: 0.0788
  E: 0.2236
  F: 0.0192
  G: 0.0919
  H: 0.0792
  I: 0.1596

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I
  A	0	0.4249	1.0784	0.9748	0.2945	2.5519	0.4715	1.5026	3.451
  B	0.4249	0	0.7683	1.164	0.8101	0.7653	0.8107	0.81	0.4933
  C	1.0784	0.7683	0	1.1276	4.0262	0.7629	0.7761	0.7801	1.2225
  D	0.9748	1.164	1.1276	0	0.7445	0.7741	0.7825	0.7859	0.8119
  E	0.2945	0.8101	4.0262	0.7445	0	1.0897	0.8085	0.8073	0.3613
  F	2.5519	0.7653	0.7629	0.7741	1.0897	0	0.7745	0.7792	12.4807
  G	0.4715	0.8107	0.7761	0.7825	0.8085	0.7745	0	0.8097	1.3442
  H	1.5026	0.81	0.7801	0.7859	0.8073	0.7792	0.8097	0	0.5623
  I	3.451	0.4933	1.2225	0.8119	0.3613	12.4807	1.3442	0.5623	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I
  A	0	0.0538	0.1366	0.1235	0.0373	0.3234	0.0597	0.1904	0.4373
  B	0.0493	0	0.0892	0.1351	0.094	0.0888	0.0941	0.094	0.0572
  C	0.113	0.0805	0	0.1182	0.4219	0.0799	0.0813	0.0817	0.1281
  D	0.0768	0.0917	0.0889	0	0.0587	0.061	0.0617	0.0619	0.064
  E	0.0659	0.1812	0.9004	0.1665	0	0.2437	0.1808	0.1805	0.0808
  F	0.0491	0.0147	0.0147	0.0149	0.021	0	0.0149	0.015	0.2401
  G	0.0433	0.0745	0.0714	0.0719	0.0743	0.0712	0	0.0744	0.1236
  H	0.119	0.0642	0.0618	0.0623	0.064	0.0617	0.0641	0	0.0445
  I	0.5507	0.0787	0.1951	0.1296	0.0577	1.9918	0.2145	0.0897	0
