	given_date	apparent_date	residual
A/canine/Guangdong/1/2006|2006-06-01	2006.41	1994.3155643697453	-6.168703709815706
A/canine/Beijing/364/2009|2009-12-17	2009.95	1997.4021840089708	-6.399947994292286
A/canine/Korea/MV1/2012|2012-11-07	2012.84	2002.9183342830759	-5.060493766442111
A/canine/Korea/VC378/2012|2012-03-13	2012.2	2002.9183342830759	-4.734065109911551
A/canine/China/LG1/2015|2015-12-16	2015.95	2027.2022044146358	5.739128078248808
A/canine/China/LG2/2015|2015-12-16	2015.95	2026.6033106345064	5.433665434417348
A/canine/Beijing/20150118-256/2015|2015-01-18	2015.05	2023.5423251449245	4.3314660748129175
A/canine/Beijing/CAU-501/2001|2001-05-01	2001.33	2020.969909705605	10.017233343103808
A/canine/Beijing/CAU-511/2011|2011-05-01	2011.33	2020.969909705605	4.91678558481048
A/canine/Beijing/CAU-510/2010|2010-05-01	2010.33	2020.969909705605	5.426830360639813
A/canine/Beijing/CAU-JC2538/2010|2010-08-01	2010.58	2021.5776319194686	5.609284707018933
A/canine/Beijing/CAU-JC2550/2010|2010-08-01	2010.58	2021.5776319194686	5.609284707018933
