Map from character to field name
A:	Avian
B:	Camel
C:	Canine
D:	Equine
E:	Feline
F:	Human
G:	Mink
H:	Seal
I:	Swine
J:	?


Substitution rate (mu): 3.240154

Equilibrium frequencies (pi_i):
  A: 0.1035
  B: 0.1154
  C: 0.1067
  D: 0.0678
  E: 0.2727
  F: 0.0164
  G: 0.0897
  H: 0.0837
  I: 0.144

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I
  A	0	0.4225	1.0565	1.243	0.2688	1.8982	0.4662	1.4311	4.1944
  B	0.4225	0	0.684	1.0452	0.7249	0.6819	0.7258	0.7254	0.4439
  C	1.0565	0.684	0	1.3513	5.0765	0.6794	0.6924	0.6942	1.0907
  D	1.243	1.0452	1.3513	0	0.6588	0.6956	0.7027	0.704	0.7641
  E	0.2688	0.7249	5.0765	0.6588	0	0.9432	0.7234	0.7225	0.2896
  F	1.8982	0.6819	0.6794	0.6956	0.9432	0	0.6913	0.6935	10.9777
  G	0.4662	0.7258	0.6924	0.7027	0.7234	0.6913	0	0.7251	1.2175
  H	1.4311	0.7254	0.6942	0.704	0.7225	0.6935	0.7251	0	0.4962
  I	4.1944	0.4439	1.0907	0.7641	0.2896	10.9777	1.2175	0.4962	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I
  A	0	0.0437	0.1093	0.1286	0.0278	0.1964	0.0482	0.1481	0.434
  B	0.0487	0	0.0789	0.1206	0.0836	0.0787	0.0837	0.0837	0.0512
  C	0.1127	0.073	0	0.1442	0.5416	0.0725	0.0739	0.0741	0.1164
  D	0.0843	0.0709	0.0917	0	0.0447	0.0472	0.0477	0.0478	0.0518
  E	0.0733	0.1977	1.3845	0.1797	0	0.2572	0.1973	0.1971	0.079
  F	0.0312	0.0112	0.0112	0.0114	0.0155	0	0.0114	0.0114	0.1805
  G	0.0418	0.0651	0.0621	0.063	0.0649	0.062	0	0.065	0.1092
  H	0.1198	0.0607	0.0581	0.059	0.0605	0.0581	0.0607	0	0.0416
  I	0.6041	0.0639	0.1571	0.11	0.0417	1.5811	0.1753	0.0715	0
